Wavelength	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
322	2351836.3351758	1065339.6646539	698421.847163721	616721.167356499	580987.629043254	635515.326326281	739731.539949081	1459821.34561369	0	2578976.29419847	757004.006889055	473570.778483653	391107.655629421	315464.232996871	270604.549254054	245500.482198596	225642.769329317	218284.671267623	207532.437609049	188346.623472017	177085.380098991	167237.225702647	157569.255877548	136922.10642589	137044.799531313	127400.622918195	132165.8914651
324	2329658.86713042	1044562.42315428	682838.18849621	593960.480597907	565152.534919306	585553.511579941	681916.118922021	1142888.98798693	0	1945500.52392373	874189.980987082	496404.983355833	438659.633082837	315391.190282277	270239.586445413	245988.977413197	223963.067426883	213773.387539467	205231.806056612	184489.097895827	171974.307267929	162577.162255679	153050.443928651	131721.574459054	133084.878344736	123736.185114398	118520.244538096
326	2287449.92756202	1027956.74882602	668167.260362453	579304.743476197	550303.609141432	562335.037412574	641822.289642807	942952.63935153	506836.747315763	0	1033541.02459523	523495.341456829	455149.04796764	316301.733332194	268503.879307118	242962.205318263	218091.272521955	209420.422337722	196789.710166766	180585.623883842	166859.821995999	157256.13990444	148482.895590743	126751.476727512	130246.648405318	120108.08610721	113417.606320994
328	2289400.91704083	1022877.19652205	655880.42440638	563938.077988771	533221.653402962	534723.465693222	621842.253741579	809459.989426678	2897268.26955787	0	1265122.4370217	560302.312838263	431000.070632119	318855.537655173	267617.771689945	236746.7290556	213741.484005495	203347.546469811	189668.347916353	177910.044114239	160831.799406465	151322.189030529	143282.869535183	122211.912911721	125471.112044084	114853.127053775	108483.466231732
330	2258186.66650778	1015880.99670859	640143.142970324	549583.615931433	512349.26678393	504795.431750122	591387.982068151	710611.444495548	1890457.03824434	0	1634319.42497101	609718.088785678	413097.117341781	330505.386558998	266036.017111878	232311.86786577	210563.06858571	197664.804710539	184164.471308392	176629.126714904	155394.548767356	146138.739832787	138491.049340582	117286.536264034	120242.32699639	111832.069516146	104977.402777355
332	2257132.05551253	998912.647921374	629703.890278702	534429.382306551	496796.385081268	481323.470719758	545039.252617828	637329.296884028	1348516.92078617	0	2252344.07541404	685512.342713859	425328.484170099	365111.62640238	265874.385142792	231952.44890369	209950.34201346	195588.03181446	181218.003091818	172829.633191633	151154.356820407	142334.498292563	133942.340893081	114359.499354893	115265.239521988	108725.361938509	102404.958594511
334	2255210.6835067	977282.699880374	619961.962520734	519572.780249769	476143.504890961	462046.704940483	497304.725122429	575619.718942425	1033841.43282534	0	457527.726283266	786610.980329628	446365.996321129	401033.511969817	265696.228461418	230692.441750492	207843.297870396	191070.346453654	176933.677575392	164942.945351428	146868.639712139	137193.556154431	129573.961664051	109637.709013361	111329.382799069	106326.499149474	98493.5387170356
336	2220045.79520551	967763.822229842	612419.481157792	504383.395245404	463534.460091029	445852.22638495	468256.023716442	536437.595694902	845802.423274994	2004.73065911349	0	930629.911594242	472585.673086672	399087.887188992	268363.899278111	231144.855051575	203199.39624127	186300.746476734	172604.331537993	160702.504643915	146522.425685644	134012.365307722	125755.210146372	106928.113532896	108637.073474633	102086.612839334	95403.3855162636
338	2205021.07043844	975523.950488487	606631.296607809	496513.650444995	450612.957533432	433240.846126361	449108.716280962	517135.251485686	723080.66903813	2494759.17630019	0	1148258.22920276	511038.941042745	374513.614222205	274240.584793309	233590.257667454	201403.896774365	185850.845520941	170855.17376541	157870.065618002	146677.414239232	131246.77947999	123634.480928022	103982.421573198	104909.180157753	99023.7847550125	93686.5829868774
340	2209154.47159729	962950.592266751	597732.236385979	483353.646460873	438747.464550715	422455.731696014	427811.128504079	500805.639525249	632821.935643675	1752141.26127045	0	1477166.73787756	562361.066669734	374416.228415956	291969.008967875	234562.497710216	201920.1188561	188524.394552651	168592.007674635	156683.271259282	143704.44654036	128137.180768665	120723.223789161	101655.264625503	102687.617833389	95988.17693681	91899.3450116512
